slug,title,platform,metacritic_score,must_play,release_year,genre,metacritic_url,ign_score,ign_url,gamespot_score,gamespot_url,content_status,notes,pcgamer_url,eurogamer_url,nintendolife_url,rockpapershotgun_url,rpgsite_url,adventuregamers_url,nintendoworldreport_url
starcraft-ii-wings-of-liberty,Starcraft II: Wings of Liberty,PC,93,true,2010,,https://www.metacritic.com/game/starcraft-ii-wings-of-liberty/,,https://www.ign.com/articles/2010/08/03/starcraft-ii-wings-of-liberty-review,,https://www.gamespot.com/reviews/starcraft-ii-wings-of-liberty-review/1900-6271989/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,https://www.eurogamer.net/starcraft-ii-wings-of-liberty-review,,,,,
the-witcher-3-wild-hunt,The Witcher 3: Wild Hunt,PC,93,true,2015,,https://www.metacritic.com/game/the-witcher-3-wild-hunt/,,https://www.ign.com/articles/2015/05/12/the-witcher-3-the-wild-hunt-review,,,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第1页,,https://www.eurogamer.net/the-witcher-3-wild-hunt-review,,,,,
unreal-tournament-2004,Unreal Tournament 2004,PC,93,true,2004,,https://www.metacritic.com/game/unreal-tournament-2004/,,https://www.ign.com/articles/2004/03/12/unreal-tournament-2004-review,,https://www.gamespot.com/reviews/unreal-tournament-2004-review/1900-6091581/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,,,,,,
world-of-warcraft,World of Warcraft,PC,93,true,2004,,https://www.metacritic.com/game/world-of-warcraft/,,https://www.ign.com/articles/2004/12/10/world-of-warcraft-review,,https://www.gamespot.com/reviews/world-of-warcraft-review/1900-6114072/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,,,,,,
age-of-empires-ii-the-age-of-kings,Age of Empires II: The Age of Kings,PC,92,true,1999,,https://www.metacritic.com/game/age-of-empires-ii-the-age-of-kings/,,https://www.ign.com/articles/1999/10/09/age-of-empires-ii-the-age-of-kings,,https://www.gamespot.com/reviews/age-of-empires-ii-the-age-of-kings-review/1900-2537995/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,https://www.pcgamer.com/age-of-empires-2-definitive-edition-review/,https://www.eurogamer.net/age-of-empires-2-hd-review,,,,,
blue-prince,Blue Prince,PC,92,true,2025,,https://www.metacritic.com/game/blue-prince/,,https://www.ign.com/articles/blue-prince-review,,https://www.gamespot.com/reviews/blue-prince-review-an-intricate-layered-roguelike-puzzle/1900-6418355/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,https://www.eurogamer.net/blue-prince-review,,https://www.rockpapershotgun.com/blue-prince-review,,,
call-of-duty-4-modern-warfare,Call of Duty 4: Modern Warfare,PC,92,true,2007,,https://www.metacritic.com/game/call-of-duty-4-modern-warfare/,,https://www.ign.com/articles/2007/11/07/call-of-duty-4-modern-warfare-au-review,,https://www.gamespot.com/reviews/call-of-duty-4-modern-warfare-review/1900-6182402/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/call-of-duty-modern-warfare-review/,https://www.eurogamer.net/call-of-duty-4-modern-warfare-review,,,,,
elden-ring-shadow-of-the-erdtree,Elden Ring: Shadow of the Erdtree,PC,92,true,2024,,https://www.metacritic.com/game/elden-ring-shadow-of-the-erdtree/,,https://www.ign.com/articles/elden-ring-shadow-of-the-erdtree-dlc-review,,https://www.gamespot.com/reviews/elden-ring-shadow-of-the-erdtree-dlc-review-kill-them-with-kindness/1900-6418243/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,https://www.eurogamer.net/elden-ring-shadow-of-the-erdtree-review,,https://www.rockpapershotgun.com/elden-ring-shadow-of-the-erdtree-review,https://www.rpgsite.net/review/15971-elden-ring-shadow-of-the-erdtree-review,,
final-fantasy-xiv-endwalker,Final Fantasy XIV: Endwalker,PC,92,true,2021,,https://www.metacritic.com/game/final-fantasy-xiv-endwalker/,,https://www.ign.com/articles/final-fantasy-xiv-endwalker-review-ffxiv,,https://www.gamespot.com/reviews/final-fantasy-xiv-endwalker-review-that-i-cant-deny/1900-6417806/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,https://www.rpgsite.net/review/12179-final-fantasy-xiv-endwalker-review,,
galactic-civilizations-ii-twilight-of-the-arnor,Galactic Civilizations II: Twilight of the Arnor,PC,92,true,2008,,https://www.metacritic.com/game/galactic-civilizations-ii-twilight-of-the-arnor/,,https://www.ign.com/articles/2008/05/12/galactic-civilizations-ii-twilight-of-the-arnor-review,,https://www.gamespot.com/reviews/galactic-civilizations-ii-twilight-of-the-arnor-re/1900-6191779/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,,,
metaphor-refantazio,Metaphor: ReFantazio,PC,92,true,2024,,https://www.metacritic.com/game/metaphor-refantazio/,,https://www.ign.com/articles/metaphor-refantazio-review,,https://www.gamespot.com/reviews/metaphor-refantazio-review-everybody-wants-to-rule-the-world/1900-6418297/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,https://www.pcgamer.com/games/rpg/metaphor-refantazio-review/,https://www.eurogamer.net/metaphor-refantazio-review,,https://www.rockpapershotgun.com/metaphor-refantazio-review,https://www.rpgsite.net/review/16407-metaphor-refantazio-review,,
resident-evil-requiem,Resident Evil Requiem,PC,92,true,2026,,https://www.metacritic.com/game/resident-evil-requiem/,9,https://www.ign.com/articles/resident-evil-requiem-review,,https://www.gamespot.com/reviews/resident-evil-requiem-review-two-headed-mutant/1900-6418464/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/games/resident-evil/resident-evil-requiem-review/,https://www.eurogamer.net/resident-evil-requiem-review,,https://www.rockpapershotgun.com/resident-evil-requiem-review-a-cathartic-cross-breed-of-creeps-and-carnage,,,
rome-total-war,Rome: Total War,PC,92,true,2004,,https://www.metacritic.com/game/rome-total-war/,,https://www.ign.com/articles/total-war-rome-remastered-review,,https://www.gamespot.com/reviews/rome-total-war-review/1900-6108207/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,,,
sid-meiers-alpha-centauri,Sid Meier's Alpha Centauri,PC,92,true,1999,,https://www.metacritic.com/game/sid-meiers-alpha-centauri/,,,,https://www.gamespot.com/reviews/sid-meiers-alpha-centauri-review/1900-2533000/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,,,
street-fighter-6,Street Fighter 6,PC,92,true,2023,,https://www.metacritic.com/game/street-fighter-6/,,https://www.ign.com/articles/street-fighter-6-review,,https://www.gamespot.com/reviews/street-fighter-6-review-battle-hardened/1900-6418073/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,https://www.pcgamer.com/street-fighter-6-review/,https://www.eurogamer.net/street-fighter-6-review-social-silly-spectacular,,https://www.rockpapershotgun.com/street-fighter-6-review,,,
system-shock-2,System Shock 2,PC,92,true,1999,,https://www.metacritic.com/game/system-shock-2/,,,,https://www.gamespot.com/reviews/system-shock-2-review/1900-2533150/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,,,
team-fortress-2,Team Fortress 2,PC,92,true,2007,,https://www.metacritic.com/game/team-fortress-2/,,https://www.ign.com/articles/2007/10/09/team-fortress-2-review,,https://www.gamespot.com/reviews/team-fortress-2-review/1900-6415650/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,https://www.pcgamer.com/team-fortress-2-review/,https://www.eurogamer.net/team-fortress-2-re-review,,https://www.rockpapershotgun.com/team-fortress-2s-gun-mettle-review,,,
the-sims,The Sims,PC,92,true,2000,,https://www.metacritic.com/game/the-sims/,,,,https://www.gamespot.com/reviews/the-sims-review/1900-2533406/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,,,,,,
the-witcher-3-wild-hunt-blood-and-wine,The Witcher 3: Wild Hunt - Blood and Wine,PC,92,true,2016,,https://www.metacritic.com/game/the-witcher-3-wild-hunt-blood-and-wine/,,https://www.ign.com/articles/2016/05/25/the-witcher-3-wild-hunt-blood-and-wine-review,,https://www.gamespot.com/reviews/the-witcher-3-wild-hunt-blood-and-wine-review/1900-6416443/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,,,
thief-the-dark-project,Thief: The Dark Project,PC,92,true,1998,,https://www.metacritic.com/game/thief-the-dark-project/,,https://www.ign.com/articles/1998/12/12/thief-the-dark-project,,https://www.gamespot.com/reviews/thief-the-dark-project-review/1900-2533843/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,,,
tom-clancys-splinter-cell-chaos-theory,Tom Clancy's Splinter Cell: Chaos Theory,PC,92,true,2005,,https://www.metacritic.com/game/tom-clancys-splinter-cell-chaos-theory/,,,,https://www.gamespot.com/reviews/tom-clancys-splinter-cell-chaos-theory-review/1900-6121159/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,,,
undertale,Undertale,PC,92,true,2015,,https://www.metacritic.com/game/undertale/,,https://www.ign.com/articles/2018/09/18/undertale-review,,https://www.gamespot.com/reviews/undertale-review-nintendo-switch-update/1900-6416315/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,https://www.pcgamer.com/undertale-review/,https://www.eurogamer.net/undertale-review,,https://www.rockpapershotgun.com/undertale-review,,,
unreal-tournament-1999,Unreal Tournament (1999),PC,92,true,1999,,https://www.metacritic.com/game/unreal-tournament-1999/,,,,,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,,,
warcraft-iii-reign-of-chaos,Warcraft III: Reign of Chaos,PC,92,true,2002,,https://www.metacritic.com/game/warcraft-iii-reign-of-chaos/,,https://www.ign.com/articles/2001/12/06/warcraft-iii-reign-of-chaos-3,,https://www.gamespot.com/reviews/warcraft-iii-reign-of-chaos-review/1900-2873347/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第2页,,,,,,,
against-the-storm,Against the Storm,PC,91,true,2023,,https://www.metacritic.com/game/against-the-storm/,,,,,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,https://www.pcgamer.com/against-the-storm-review/,https://www.eurogamer.net/against-the-storm-review-a-perfectly-chaotic-city-builder,,https://www.rockpapershotgun.com/against-the-storm-review,,,
baldurs-gate,Baldur's Gate,PC,91,true,1998,,https://www.metacritic.com/game/baldurs-gate/,,,,https://www.gamespot.com/reviews/baldurs-gate-review/1900-2538129/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,,,,,,,
batman-arkham-asylum,Batman: Arkham Asylum,PC,91,true,2009,,https://www.metacritic.com/game/batman-arkham-asylum/,,https://www.ign.com/articles/2009/09/11/batman-arkham-asylum-review,,https://www.gamespot.com/reviews/batman-arkham-asylum-review/1900-6215975/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,https://www.pcgamer.com/games/action/a-huge-discount-to-batman-arkham-asylum-the-superlative-superhero-game-with-over-47-000-overwhelmingly-positive-reviews-on-steam-is-the-halloween-gaming-treat-ive-been-waiting-for/,https://www.eurogamer.net/games-of-2009-batman-arkham-asylum-review,,,,,
batman-arkham-city,Batman: Arkham City,PC,91,true,2011,,https://www.metacritic.com/game/batman-arkham-city/,,https://www.ign.com/articles/2011/10/14/batman-arkham-city-review,,https://www.gamespot.com/reviews/batman-arkham-city-review/1900-6339933/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,https://www.pcgamer.com/batman-arkham-city-review/,https://www.eurogamer.net/batman-arkham-city-harley-quinns-revenge-review,,,,,
battlefield-2,Battlefield 2,PC,91,true,2005,,https://www.metacritic.com/game/battlefield-2/,,https://www.ign.com/articles/2005/06/19/battlefield-2-review,,https://www.gamespot.com/reviews/battlefield-2-review/1900-6127831/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,,https://www.eurogamer.net/battlefield-bad-company-2-vietnam-review,,,,,
big-walk,Big Walk,PC,91,true,2026,,https://www.metacritic.com/game/big-walk/,,https://www.ign.com/articles/big-walk-review,,,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,https://www.pcgamer.com/games/puzzle/big-walk-review/,https://www.eurogamer.net/big-walk-review,,,,,
call-of-duty,Call of Duty,PC,91,true,2003,,https://www.metacritic.com/game/call-of-duty/,9.3,https://www.ign.com/articles/2003/10/28/call-of-duty-review,,https://www.gamespot.com/reviews/call-of-duty-review/1900-6077549/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第5页,,,,,,,
clair-obscur-expedition-33,Clair Obscur: Expedition 33,PC,91,true,2025,,https://www.metacritic.com/game/clair-obscur-expedition-33/,,https://www.ign.com/articles/clair-obscur-expedition-33-review,,https://www.gamespot.com/reviews/clair-obscur-expedition-33-review-light-and-shadow/1900-6418358/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,https://www.pcgamer.com/games/rpg/clair-obscur-expedition-33-review/,https://www.eurogamer.net/clair-obscur-expedition-33-review,,https://www.rockpapershotgun.com/clair-obscur-expedition-33-review,https://www.rpgsite.net/review/17273-clair-obscur-expedition-33-review,,
crusader-kings-iii,Crusader Kings III,PC,91,true,2020,,https://www.metacritic.com/game/crusader-kings-iii/,,https://www.ign.com/articles/crusader-kings-3-review,,https://www.gamespot.com/reviews/crusader-kings-3-review-pass-the-duchy/1900-6417551/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,https://www.pcgamer.com/crusader-kings-3-review/,,,https://www.rockpapershotgun.com/crusader-kings-3-review,,,
crysis,Crysis,PC,91,true,2007,,https://www.metacritic.com/game/crysis/,,https://www.ign.com/articles/2007/11/14/crysis-au-review,,https://www.gamespot.com/reviews/crysis-review/1900-6182739/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,,https://www.eurogamer.net/crysis-review,,,,,
dark-souls-ii,Dark Souls II,PC,91,true,2014,,https://www.metacritic.com/game/dark-souls-ii/,,https://www.ign.com/articles/2014/03/11/dark-souls-2-review,,https://www.gamespot.com/reviews/dark-souls-2-review-a-newcomer-in-drangleic/1900-6415748/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,https://www.pcgamer.com/dark-souls-2-crown-of-the-ivory-king-review/,https://www.eurogamer.net/dark-souls-2-review,,,https://www.rpgsite.net/review/3390-dark-souls-ii-review,,
death-stranding-2-on-the-beach,Death Stranding 2: On The Beach,PC,91,true,2026,,https://www.metacritic.com/game/death-stranding-2-on-the-beach/,,https://www.ign.com/articles/death-stranding-2-on-the-beach-review,,https://www.gamespot.com/reviews/death-stranding-2-review-tied-up/1900-6418377/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,https://www.pcgamer.com/games/action/death-stranding-2-on-the-beach-review/,https://www.eurogamer.net/death-stranding-2-on-the-beach-review,,,,,
disco-elysium,Disco Elysium,PC,91,true,2019,,https://www.metacritic.com/game/disco-elysium/,,https://www.ign.com/articles/2019/10/16/disco-elysium-review,,https://www.gamespot.com/reviews/disco-elysium-the-final-cut-review-pure-dynamite/1900-6417354/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第5页,https://www.pcgamer.com/disco-elysium-review/,https://www.eurogamer.net/disco-elysium-review-large-scale-whodunit-with-a-lack-of-focus,,https://www.rockpapershotgun.com/disco-elysium-review,https://www.rpgsite.net/review/10993-disco-elysium-the-final-cut-review,,
dishonored,Dishonored,PC,91,true,2012,,https://www.metacritic.com/game/dishonored/,,https://www.ign.com/articles/2012/10/08/dishonored-review,,https://www.gamespot.com/reviews/dishonored-review/1900-6397794/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,https://www.pcgamer.com/games/action/dishonored-review-2012/,,,,,,
dragon-age-origins,Dragon Age: Origins,PC,91,true,2009,,https://www.metacritic.com/game/dragon-age-origins/,,https://www.ign.com/articles/2009/11/04/dragon-age-origins-review,,https://www.gamespot.com/reviews/dragon-age-origins-review/1900-6238628/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,,,,https://www.rockpapershotgun.com/pc-gamer-dragon-age-origins-review,https://www.rpgsite.net/review/2894-dragon-age-origins-review,,
fallout-3,Fallout 3,PC,91,true,2008,,https://www.metacritic.com/game/fallout-3/,,https://www.ign.com/articles/2008/10/28/fallout-3-au-review,,https://www.gamespot.com/reviews/fallout-3-review/1900-6200089/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,,https://www.eurogamer.net/fallout-3-operation-anchorage-review,,https://www.rockpapershotgun.com/attack-of-the-fallout-3-reviews,https://www.rpgsite.net/review/2829-fallout-3-review,,
forza-horizon-5,Forza Horizon 5,PC,91,true,2021,,https://www.metacritic.com/game/forza-horizon-5/,,https://www.ign.com/articles/forza-horizon-5-review,,https://www.gamespot.com/reviews/forza-horizon-5-review-its-about-four-wheeled-family/1900-6417778/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,https://www.pcgamer.com/forza-horizon-5-review/,https://www.eurogamer.net/forza-horizon-5-review-the-ultimate-big-tent-driving-game-cruises-to-mexico,,https://www.rockpapershotgun.com/forza-horizon-5-review,,,
freespace-2,FreeSpace 2,PC,91,true,1999,,https://www.metacritic.com/game/freespace-2/,8.9,https://www.ign.com/articles/1999/10/02/freespace-2,,https://www.gamespot.com/reviews/freespace-2-review/1900-2538608/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第4页,https://www.pcgamer.com/freespace-2-review-january-2000-us-edition/,,,,,,
galactic-civilizations-ii-dark-avatar,Galactic Civilizations II: Dark Avatar,PC,91,true,2007,,https://www.metacritic.com/game/galactic-civilizations-ii-dark-avatar/,,https://www.ign.com/articles/2007/02/12/galactic-civilizations-ii-dark-avatar-review,,https://www.gamespot.com/reviews/galactic-civilizations-ii-dark-avatar-review/1900-6166566/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,,,,,,,
medal-of-honor-allied-assault,Medal of Honor: Allied Assault,PC,91,true,2002,,https://www.metacritic.com/game/medal-of-honor-allied-assault/,9.3,https://www.ign.com/articles/2002/01/19/medal-of-honor-allied-assault-2,,https://www.gamespot.com/reviews/medal-of-honor-allied-assault-review/1900-2841761/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,,,
microsoft-flight-simulator,Microsoft Flight Simulator,PC,91,true,2020,,https://www.metacritic.com/game/microsoft-flight-simulator/,,https://www.ign.com/articles/microsoft-flight-simulator-review,,https://www.gamespot.com/reviews/microsoft-flight-simulator-review-head-in-the-xbox-clouds/1900-6417537/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,,,,,,
neverwinter-nights,Neverwinter Nights,PC,91,true,2002,,https://www.metacritic.com/game/neverwinter-nights/,,,,https://www.gamespot.com/reviews/neverwinter-nights-review/1900-2872002/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,,,,,,,
no-one-lives-forever-2-a-spy-in-h-a-r-m-s-way,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,PC,91,true,2002,,https://www.metacritic.com/game/no-one-lives-forever-2-a-spy-in-h-a-r-m-s-way/,9,https://www.ign.com/articles/2002/10/02/no-one-lives-forever-2-a-spy-in-harms-way,,https://www.gamespot.com/reviews/no-one-lives-forever-2-a-spy-in-harms-way/1900-2881851/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第5页,,,,,,,
overwatch-2016,Overwatch (2016),PC,91,true,2016,,https://www.metacritic.com/game/overwatch-2016/,,https://www.ign.com/articles/2016/05/28/overwatch-review,,https://www.gamespot.com/reviews/overwatch-review/1900-6416439/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,,,,,,,
planescape-torment,Planescape: Torment,PC,91,true,1999,,https://www.metacritic.com/game/planescape-torment/,,,,https://www.gamespot.com/reviews/planescape-torment-review/1900-2535119/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,https://www.pcgamer.com/planescape-torment-review/,,,https://www.rockpapershotgun.com/torment-tides-of-numenera-review-for-planescape-veterans,,,
resident-evil-4,Resident Evil 4,PC,91,true,2023,,https://www.metacritic.com/game/resident-evil-4/,,https://www.ign.com/articles/2007/05/25/resident-evil-4-review,,https://www.gamespot.com/reviews/resident-evil-4-review/1900-6115968/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,,,,,,,
satisfactory,Satisfactory,PC,91,true,2024,,https://www.metacritic.com/game/satisfactory/,,https://www.ign.com/articles/satisfactory-review,,,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,https://www.pcgamer.com/games/sim/satisfactory-review/,,,,,,
spelunky-2,Spelunky 2,PC,91,true,2020,,https://www.metacritic.com/game/spelunky-2/,,https://www.ign.com/articles/spelunky-2-review,,https://www.gamespot.com/reviews/spelunky-2-review-snakes-on-a-2d-plane/1900-6417567/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,https://www.pcgamer.com/spelunky-2-review/,https://www.eurogamer.net/spelunky-2-review-the-depths-beckon,,https://www.rockpapershotgun.com/spelunky-2-review-a-worthy-successor-to-a-classic,,,
street-fighter-iv,Street Fighter IV,PC,91,true,2009,,https://www.metacritic.com/game/street-fighter-iv/,,https://www.ign.com/articles/2009/02/13/street-fighter-iv-au-review,,https://www.gamespot.com/reviews/street-fighter-iv-review/1900-6204782/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第5页,https://www.pcgamer.com/ultra-street-fighter-iv-review/,https://www.eurogamer.net/ultra-street-fighter-4-review,,,,,
tekken-8,Tekken 8,PC,91,true,2024,,https://www.metacritic.com/game/tekken-8/,,https://www.ign.com/articles/tekken-8-review,,https://www.gamespot.com/reviews/tekken-8-review-the-heat-of-battle/1900-6418169/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,https://www.pcgamer.com/tekken-8-review/,https://www.eurogamer.net/tekken-8-review,,https://www.rockpapershotgun.com/tekken-8-review,,,
the-longest-journey,The Longest Journey,PC,91,true,2000,,https://www.metacritic.com/game/the-longest-journey/,,,,https://www.gamespot.com/reviews/the-longest-journey-review/1900-2594178/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,,,,,,https://adventuregamers.com/article/dreamfall_the_longest_journey,
the-operative-no-one-lives-forever,The Operative: No One Lives Forever,PC,91,true,2000,,https://www.metacritic.com/game/the-operative-no-one-lives-forever/,,,,https://www.gamespot.com/reviews/the-operative-no-one-lives-forever-review/1900-2652466/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,https://www.pcgamer.com/no-one-lives-forever-review/,,,,,,
tiger-woods-pga-tour-2005,Tiger Woods PGA Tour 2005,PC,91,true,2004,,https://www.metacritic.com/game/tiger-woods-pga-tour-2005/,,,,https://www.gamespot.com/reviews/tiger-woods-pga-tour-2005-review/1900-6108231/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,,,,,,,
tom-clancys-splinter-cell,Tom Clancy's Splinter Cell,PC,91,true,2003,,https://www.metacritic.com/game/tom-clancys-splinter-cell/,,https://www.ign.com/articles/2002/11/18/splinter-cell-review,,https://www.gamespot.com/reviews/tom-clancys-splinter-cell-review/1900-2897896/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,,https://www.eurogamer.net/tom-clancys-splinter-cell-3d-review,,,,,
tony-hawks-pro-skater-2,Tony Hawk's Pro Skater 2,PC,91,true,2000,,https://www.metacritic.com/game/tony-hawks-pro-skater-2/,,,,https://www.gamespot.com/reviews/tony-hawks-pro-skater-2-review/1900-2630641/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,,,,,,,
ufo-50,UFO 50,PC,91,true,2024,,https://www.metacritic.com/game/ufo-50/,,,,https://www.gamespot.com/reviews/ufo-50-review-space-shuttle-discovery/1900-6418288/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,https://www.pcgamer.com/games/action/ufo-50-review/,https://www.eurogamer.net/ufo-50-review-a-rangy-confounding-and-audacious-proposition,,https://www.rockpapershotgun.com/ufo-50-review,,,
world-of-warcraft-the-burning-crusade,World of Warcraft: The Burning Crusade,PC,91,true,2007,,https://www.metacritic.com/game/world-of-warcraft-the-burning-crusade/,,https://www.ign.com/articles/2007/01/30/world-of-warcraft-the-burning-crusade-review,,https://www.gamespot.com/reviews/world-of-warcraft-the-burning-crusade-review/1900-6165433/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第4页,,https://www.eurogamer.net/world-of-warcraft-the-burning-crusade-review,,,,,
world-of-warcraft-wrath-of-the-lich-king,World of Warcraft: Wrath of the Lich King,PC,91,true,2008,,https://www.metacritic.com/game/world-of-warcraft-wrath-of-the-lich-king/,,https://www.ign.com/articles/2008/11/26/world-of-warcraft-wrath-of-the-lich-king-review,,https://www.gamespot.com/reviews/world-of-warcraft-wrath-of-the-lich-king-review/1900-6201906/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第3页,,https://www.eurogamer.net/world-of-warcraft-wrath-of-the-lich-king-review,,,,,
animal-well,Animal Well,PC,90,true,2024,,https://www.metacritic.com/game/animal-well/,,https://www.ign.com/articles/animal-well-review,,https://www.gamespot.com/reviews/animal-well-review-going-deeper/1900-6418225/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集,,https://www.eurogamer.net/animal-well-review,,https://www.rockpapershotgun.com/animal-well-review,,,
balatro,Balatro,PC,90,true,2024,,https://www.metacritic.com/game/balatro/,,https://www.ign.com/articles/balatro-review,,https://www.gamespot.com/reviews/balatro-review-one-more-blind/1900-6418192/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第5页,https://www.pcgamer.com/balatro-review/,https://www.eurogamer.net/balatro-review,,https://www.rockpapershotgun.com/balatro-review,,,
bayonetta,Bayonetta,PC,90,true,2017,,https://www.metacritic.com/game/bayonetta/,,https://www.ign.com/articles/2009/12/22/bayonetta-review,,https://www.gamespot.com/reviews/bayonetta-review/1900-6244865/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第7页,https://www.pcgamer.com/bayonetta-review/,,,,,,
black-and-white,Black & White,PC,90,true,2001,,https://www.metacritic.com/game/black-and-white/,,,,https://www.gamespot.com/reviews/black-and-white-review/1900-2702884/,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第6页,,https://www.eurogamer.net/pokemon-black-and-white-review,,,,,
chicory-a-colorful-tale,Chicory: A Colorful Tale,PC,90,true,2021,,https://www.metacritic.com/game/chicory-a-colorful-tale/,,https://www.ign.com/articles/chicory-colorful-tale-review,,https://www.gamespot.com/reviews/chicory-a-colorful-tale-review-masterful-strokes/1900-6417696/,links-collected,Metacritic高分（≥90）与Must-Play交集；来源页第7页,,,,https://www.rockpapershotgun.com/chicory-a-colorful-tale-review,,,
dave-the-diver,DAVE THE DIVER,PC,90,true,2023,,https://www.metacritic.com/game/dave-the-diver/,,https://www.ign.com/articles/dave-the-diver-review,,,metacritic-filtered,Metacritic高分（≥90）与Must-Play交集；来源页第6页,https://www.pcgamer.com/games/action/dave-the-diver-in-the-jungle-review/,,,,,,
